,Temperature,Date Time,Location
18,57.2,2026-04-06 01:10:00-05:00,AUSTIN
19,57.2,2026-04-06 01:15:00-05:00,AUSTIN
20,57.2,2026-04-06 01:20:00-05:00,AUSTIN
21,57.2,2026-04-06 01:25:00-05:00,AUSTIN
22,55.4,2026-04-06 01:30:00-05:00,AUSTIN
23,55.4,2026-04-06 01:35:00-05:00,AUSTIN
24,55.4,2026-04-06 01:40:00-05:00,AUSTIN
25,55.4,2026-04-06 01:45:00-05:00,AUSTIN
26,55.4,2026-04-06 01:50:00-05:00,AUSTIN
27,57.02,2026-04-06 01:53:00-05:00,AUSTIN
28,57.2,2026-04-06 01:55:00-05:00,AUSTIN
29,55.4,2026-04-06 02:00:00-05:00,AUSTIN
30,55.4,2026-04-06 02:05:00-05:00,AUSTIN
31,55.4,2026-04-06 02:10:00-05:00,AUSTIN
32,55.4,2026-04-06 02:15:00-05:00,AUSTIN
33,55.4,2026-04-06 02:20:00-05:00,AUSTIN
34,55.4,2026-04-06 02:25:00-05:00,AUSTIN
35,55.4,2026-04-06 02:30:00-05:00,AUSTIN
36,55.4,2026-04-06 02:35:00-05:00,AUSTIN
37,55.4,2026-04-06 02:40:00-05:00,AUSTIN
38,55.4,2026-04-06 02:45:00-05:00,AUSTIN
39,55.4,2026-04-06 02:50:00-05:00,AUSTIN
40,55.04,2026-04-06 02:53:00-05:00,AUSTIN
41,53.6,2026-04-06 02:55:00-05:00,AUSTIN
42,53.6,2026-04-06 03:00:00-05:00,AUSTIN
43,53.6,2026-04-06 03:05:00-05:00,AUSTIN
44,51.8,2026-04-06 03:10:00-05:00,AUSTIN
45,53.6,2026-04-06 03:15:00-05:00,AUSTIN
46,53.6,2026-04-06 03:20:00-05:00,AUSTIN
47,53.6,2026-04-06 03:25:00-05:00,AUSTIN
48,53.6,2026-04-06 03:30:00-05:00,AUSTIN
49,55.4,2026-04-06 03:35:00-05:00,AUSTIN
50,53.6,2026-04-06 03:40:00-05:00,AUSTIN
51,53.6,2026-04-06 03:45:00-05:00,AUSTIN
52,53.6,2026-04-06 03:50:00-05:00,AUSTIN
53,53.96,2026-04-06 03:53:00-05:00,AUSTIN
54,53.6,2026-04-06 03:55:00-05:00,AUSTIN
55,53.6,2026-04-06 04:00:00-05:00,AUSTIN
56,51.8,2026-04-06 04:05:00-05:00,AUSTIN
57,53.6,2026-04-06 04:10:00-05:00,AUSTIN
58,51.8,2026-04-06 04:15:00-05:00,AUSTIN
59,53.6,2026-04-06 04:20:00-05:00,AUSTIN
60,53.6,2026-04-06 04:25:00-05:00,AUSTIN
61,53.6,2026-04-06 04:30:00-05:00,AUSTIN
62,53.6,2026-04-06 04:35:00-05:00,AUSTIN
63,53.6,2026-04-06 04:40:00-05:00,AUSTIN
64,53.6,2026-04-06 04:45:00-05:00,AUSTIN
65,51.8,2026-04-06 04:50:00-05:00,AUSTIN
66,51.98,2026-04-06 04:53:00-05:00,AUSTIN
67,51.8,2026-04-06 04:55:00-05:00,AUSTIN
68,51.8,2026-04-06 05:00:00-05:00,AUSTIN
69,51.8,2026-04-06 05:05:00-05:00,AUSTIN
70,51.8,2026-04-06 05:10:00-05:00,AUSTIN
71,48.2,2026-04-06 05:15:00-05:00,AUSTIN
72,48.2,2026-04-06 05:20:00-05:00,AUSTIN
73,46.4,2026-04-06 05:25:00-05:00,AUSTIN
74,46.4,2026-04-06 05:30:00-05:00,AUSTIN
75,48.2,2026-04-06 05:35:00-05:00,AUSTIN
76,48.2,2026-04-06 05:40:00-05:00,AUSTIN
77,48.2,2026-04-06 05:45:00-05:00,AUSTIN
78,51.8,2026-04-06 05:50:00-05:00,AUSTIN
79,51.08,2026-04-06 05:53:00-05:00,AUSTIN
80,51.8,2026-04-06 05:55:00-05:00,AUSTIN
81,51.8,2026-04-06 06:00:00-05:00,AUSTIN
82,51.8,2026-04-06 06:05:00-05:00,AUSTIN
83,51.8,2026-04-06 06:10:00-05:00,AUSTIN
84,48.2,2026-04-06 06:15:00-05:00,AUSTIN
85,48.2,2026-04-06 06:20:00-05:00,AUSTIN
86,48.2,2026-04-06 06:25:00-05:00,AUSTIN
87,48.2,2026-04-06 06:30:00-05:00,AUSTIN
88,48.2,2026-04-06 06:35:00-05:00,AUSTIN
89,48.2,2026-04-06 06:40:00-05:00,AUSTIN
90,48.2,2026-04-06 06:45:00-05:00,AUSTIN
91,46.4,2026-04-06 06:50:00-05:00,AUSTIN
92,46.94,2026-04-06 06:53:00-05:00,AUSTIN
93,46.4,2026-04-06 06:55:00-05:00,AUSTIN
94,46.4,2026-04-06 07:00:00-05:00,AUSTIN
95,48.2,2026-04-06 07:05:00-05:00,AUSTIN
96,50.0,2026-04-06 07:10:00-05:00,AUSTIN
97,48.2,2026-04-06 07:15:00-05:00,AUSTIN
98,48.2,2026-04-06 07:20:00-05:00,AUSTIN
99,48.2,2026-04-06 07:25:00-05:00,AUSTIN
100,48.2,2026-04-06 07:30:00-05:00,AUSTIN
101,48.2,2026-04-06 07:35:00-05:00,AUSTIN
102,50.0,2026-04-06 07:40:00-05:00,AUSTIN
